Country code,Country Name
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Antigua and Barbuda
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaijan
12,Bahamas
13,Bahrain
14,Bangladesh
15,Barbados
16,Belarus
17,Belgium
18,Belize
19,Benin
20,Bhutan
21,Bolivia (Plurinational State of)
22,Bosnia and Herzegovina
23,Botswana
24,Brazil
25,Brunei Darussalam
26,Bulgaria
27,Burkina Faso
28,Burundi
29,Cabo Verde
30,Cambodia
31,Cameroon
32,Canada
33,Central African Republic
34,Chad
35,Chile
36,China
37,Colombia
38,Comoros
39,Congo
40,Cook Islands
41,Costa Rica
42,Croatia
43,Cuba
44,Cyprus
45,Czech Republic
46,Democratic People's Republic of Korea
47,Democratic Republic of the Congo
48,Denmark
49,Djibouti
50,Dominica
51,Dominican Republic
52,Ecuador
53,Egypt
54,El Salvador
55,Equatorial Guinea
56,Eritrea
57,Estonia
58,Eswatini
59,Ethiopia
60,Fiji
61,Finland
62,France
63,Gabon
64,Gambia
65,Georgia
66,Germany
67,Ghana
68,Greece
69,Greenland
70,Grenada
71,Guatemala
72,Guinea
73,Guinea-Bissau
74,Guyana
75,Haiti
76,Honduras
77,Hungary
78,Iceland
79,India
80,Indonesia
81,Iran (Islamic Republic of)
82,Iraq
83,Ireland
84,Israel
85,Italy
86,Jamaica
87,Japan
88,Jordan
89,Kazakhstan
90,Kenya
91,Kiribati
92,Kuwait
93,Kyrgyzstan
94,Lao People's Democratic Republic
95,Latvia
96,Lebanon
97,Lesotho
98,Liberia
99,Libya
100,Liechtenstein
101,Lithuania
102,Luxembourg
103,Madagascar
104,Malawi
105,Malaysia
106,Maldives
107,Mali
108,Malta
109,Marshall Islands
110,Mauritania
111,Mauritius
112,Mexico
113,Monaco
114,Mongolia
115,Montenegro
116,Morocco
117,Mozambique
118,Myanmar
119,Namibia
120,Nauru
121,Nepal
122,Netherlands
123,New Zealand
124,Nicaragua
125,Niger
126,Nigeria
127,Niue
128,North Macedonia
129,Norway
130,Oman
131,Pakistan
132,Palau
133,Panama
134,Papua New Guinea
135,Paraguay
136,Peru
137,Philippines
138,Poland
139,Portugal
140,Puerto Rico
141,Qatar
142,Republic of Korea
143,Republic of Moldova
144,Romania
145,Russian Federation
146,Rwanda
147,Saint Kitts and Nevis
148,Saint Lucia
149,Saint Vincent and the Grenadines
150,Samoa
151,San Marino
152,Sao Tome and Principe
153,Saudi Arabia
154,Senegal
155,Serbia
156,Seychelles
157,Sierra Leone
158,Singapore
159,Slovakia
160,Slovenia
161,Solomon Islands
162,Somalia
163,South Africa
164,South Sudan
165,Spain
166,Sri Lanka
167,State of Palestine
168,Sudan
169,Suriname
170,Sweden
171,Switzerland
172,Syrian Arab Republic
173,Tajikistan
174,Thailand
175,Timor-Leste
176,Togo
177,Tokelau
178,Tonga
179,Trinidad and Tobago
180,Tunisia
181,Turkey
182,Turkmenistan
183,Tuvalu
184,Uganda
185,Ukraine
186,United Arab Emirates
187,United Kingdom of Great Britain and Northern Ireland
188,United Republic of Tanzania
189,United States of America
190,Uruguay
191,Uzbekistan
192,Vanuatu
193,Venezuela (Bolivarian Republic of)
194,Viet Nam
195,Yemen
196,Zambia
197,Zimbabwe
