Object Id,Facility ID,Facility Name,Address,City,State,ZIP Code,Phone Number,County,Country,Latitude,Longitude,Website,Helipad
1,5793230,CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,HANFORD,CA,93230,(501) 219-7000,KINGS,39,36.33615885,-119.6456673,http://www.hanfordhealth.com,N
2,53391362,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,(870) 972-4100,VENTURA,100,34.15493887,-118.8157364,http://www.losrobleshospital.com,N
3,11190023,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,(319) 268-3000,LOS ANGELES,57,34.0236473,-118.1841648,http://www.elalax.com,N
4,17090028,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,(323) 462-2271,LOS ANGELES,27,34.09639136,-118.3252349,http://sch-hollywood.com/,N
5,23691706,KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,(701) 256-6100,LOS ANGELES,72,34.06303893,-117.9674378,http://www.khbaldwinpark.com,N
6,25190712,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,(419) 291-7463,LOS ANGELES,169,33.85970662,-118.148403,http://www.lakewoodregional.com,N
7,30791016,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,(660) 726-3941,LOS ANGELES,87,34.14875866,-117.9926677,http://www.monroviamemorial.com,N
8,30891754,MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,(931) 738-9211,LOS ANGELES,141,34.04946606,-118.1382622,http://www.montereyparkhosp.com,N
9,47090505,STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,TORRANCE,CA,90505,(715) 762-7500,LOS ANGELES,88,33.82391446,-118.3560969,http://www.starsinc.com/,N
10,9092879,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,92879,(415) 600-6000,RIVERSIDE,155,33.85808331,-117.553858,http://www.coronaregional.com,N
11,30696101,MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,96101,(802) 728-4441,MODOC,28,41.48005626,-120.545744,http://www.modocmedicalcenter.org,Y
12,38593901,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,(209) 578-1211,MONTEREY,35,36.65903046,-121.6459838,http://www.svmh.com,N
13,12678414,CORPUS CHRISTI SPECIALTY HOSPITAL,1310 THIRD STREET,CORPUS CHRISTI,TX,78414,(361) 888-4323,NUECES,111,27.77851017,-97.39620831,NOT AVAILABLE,Y
14,15992866,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,ORANGE,CA,92866,(806) 998-4533,ORANGE,44,33.78272717,-117.8338919,http://www.healthbridgeorange.com,N
